jersey_number,player_name,position,height,dob,team,competition,player_img
0,Junior Madut,Shooting Guard,6'5,26-03-1997,South East Melbourne Phoenix,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/303156?alternate=%2fimages%2fdefault_profile.jpg
1,Nuni Omot,Small Forward,6'9,03-10-1994,Taichung Suns,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/274807?alternate=%2fimages%2fdefault_profile.jpg
2,Carlik Jones,Guard,6'0,23-12-1997,Chicago Bulls,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/295606?alternate=%2fimages%2fdefault_profile.jpg
6,Khaman Madit Maluach,Center,7'1,14-09-2006,A.S. Douanes,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/313606?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,6'7,08-07-1994,Keilor Thunder,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
11,Marial Shayok,Point Guard,6'5,26-07-1995,Maine Celtics,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/189079?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Acuoth,Center,6'9,02-10-1996,Knox Raiders,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
13,Majok Deng,Power Forward,6'8,01-03-1993,Tasmania JackJumpers,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/231702?alternate=%2fimages%2fdefault_profile.jpg
14,Dut Jok Kacuol,Shooting Guard,6'5,30-03-1994,Cholet Basket,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/231685?alternate=%2fimages%2fdefault_profile.jpg
21,Koch Deng Aguer Bar,Center,6'11,15-09-1996,Horsens IC,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/286405?alternate=%2fimages%2fdefault_profile.jpg
32,Wenyen Gabriel,Power Forward,6'9,26-03-1997,Free Agent,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/319595?alternate=%2fimages%2fdefault_profile.jpg
44,Sunday Dech,Guard,6'4,01-01-1994,Adelaide 36ers,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/256358?alternate=%2fimages%2fdefault_profile.jpg
1,Nuni Omot,Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/274807?alternate=%2fimages%2fdefault_profile.jpg
4,Mareng Gatkuoth,Point Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/303039?alternate=%2fimages%2fdefault_profile.jpg
7,Bul Kuol,Shooting Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/294144?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
10,Padiet Wang,Guard,6'4,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/284322?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Acuoth,Center,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
13,Majok Deng,Power Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/231702?alternate=%2fimages%2fdefault_profile.jpg
14,Dut Jok Kacuol,Shooting Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/231685?alternate=%2fimages%2fdefault_profile.jpg
21,Koch Deng Aguer Bar,Center,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/286405?alternate=%2fimages%2fdefault_profile.jpg
35,Kur Nyok Kuath,Power Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/322172?alternate=%2fimages%2fdefault_profile.jpg
44,Sunday Dech,Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/256358?alternate=%2fimages%2fdefault_profile.jpg
45,Deng Angok Yak Deng,Small Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/231364?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/coach/headshot/5/208424/9716/135716?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/coach/headshot/5/208424/9716/137975?alternate=%2fimages%2fdefault_profile.jpg
0,Teny Bak Puot,Point Guard,5'8,01-01-1991,Waverley Falcons,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/231679?alternate=%2fimages%2fdefault_profile.jpg
2,Nyang Wek,Power Forward,6'5,03-09-1996,,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/281524?alternate=%2fimages%2fdefault_profile.jpg
4,Mareng Gatkuoth,Point Guard,6'4,10-09-1999,Montana State University,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/303039?alternate=%2fimages%2fdefault_profile.jpg
5,Junior Madut,Shooting Guard,6'5,26-03-1997,University of Hawai'i  at Manoa,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/303156?alternate=%2fimages%2fdefault_profile.jpg
6,Dhieu Abwok Deing,Shooting Guard,6'3,28-08-2001,UTSA - University of Texas at San Antonio,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/303041?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,6'5,08-07-1994,Sandringham Sabres,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
9,Mathiang Mauot Muo,Small Forward,6'5,04-03-1987,Geraldton Buccaneers,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/231675?alternate=%2fimages%2fdefault_profile.jpg
10,Makuei Puondak,Power Forward,6'7,01-01-1994,Círculo Gijón Baloncesto,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/241384?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Acuoth,Center,6'11,02-10-1996,Ballarat Miners,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
15,Deng Mayot Mabior,Center,7'1,15-04-1997,AD Torreforta,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/215344?alternate=%2fimages%2fdefault_profile.jpg
20,Anyiarbany Makoi,Point Guard,6'3,03-07-2000,Lee College,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/289980?alternate=%2fimages%2fdefault_profile.jpg
21,Koch Deng Aguer Bar,Center,6'11,15-09-1996,Vaerlose Blue Hawks,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/9550/9716/286405?alternate=%2fimages%2fdefault_profile.jpg
0,Teny Bak Puot,Point Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/231679?alternate=%2fimages%2fdefault_profile.jpg
1,Nuni Omot,Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/274807?alternate=%2fimages%2fdefault_profile.jpg
2,Nyang Wek,Power Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/281524?alternate=%2fimages%2fdefault_profile.jpg
3,Bol Bak,Point Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/281526?alternate=%2fimages%2fdefault_profile.jpg
5,Dut Jok Kacuol,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/231685?alternate=%2fimages%2fdefault_profile.jpg
6,Deng Acuoth,Center,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
7,Aluk Lual Adub,Shooting Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/260347?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
9,Mathiang Mauot Muo,Small Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/231675?alternate=%2fimages%2fdefault_profile.jpg
11,Emmanuel Malou,Power Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/249150?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Makuac Riak,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/287634?alternate=%2fimages%2fdefault_profile.jpg
14,Deng Mayot Mabior,Center,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208166/9716/215344?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/coach/headshot/5/208166/9716/135716?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/coach/headshot/5/208166/9716/137975?alternate=%2fimages%2fdefault_profile.jpg
0,Teny Bak Puot,Point Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/231679?alternate=%2fimages%2fdefault_profile.jpg
1,Titgyeth Kwajakwan,Point Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/284446?alternate=%2fimages%2fdefault_profile.jpg
2,Nyang Wek,Power Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281524?alternate=%2fimages%2fdefault_profile.jpg
3,Bol Bak,Point Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281526?alternate=%2fimages%2fdefault_profile.jpg
4,Mangistu Jongkor,Shooting Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281525?alternate=%2fimages%2fdefault_profile.jpg
6,Deng Acuoth,Center,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
7,Chier Chier,Small Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/231680?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
9,Mathiang Mauot Muo,Small Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/231675?alternate=%2fimages%2fdefault_profile.jpg
10,Makuei Puondak,Power Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/241384?alternate=%2fimages%2fdefault_profile.jpg
11,Emmanuel Malou,Power Forward,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/249150?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Kuany,Shooting Guard,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/288385?alternate=%2fimages%2fdefault_profile.jpg
nan,Akoy Magut Agau,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281811?alternate=%2fimages%2fdefault_profile.jpg
nan,Deng Chan Autiak,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/288383?alternate=%2fimages%2fdefault_profile.jpg
nan,Athiey Daniel Deng Lual,,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/221271?alternate=%2fimages%2fdefault_profile.jpg
nan,Deng Mayot Mabior,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/215344?alternate=%2fimages%2fdefault_profile.jpg
nan,Ngor Santino Yewet Manyang,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/288386?alternate=%2fimages%2fdefault_profile.jpg
nan,Dominik Philip,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281523?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/coach/headshot/5/208167/9716/23468?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-afrobasket 2021,https://www.fiba.basketball/api/img/coach/headshot/5/208167/9716/259421?alternate=%2fimages%2fdefault_profile.jpg
1,Akech Bul Aguer,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231676?alternate=%2fimages%2fdefault_profile.jpg
2,Duol Michael Mayot,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231681?alternate=%2fimages%2fdefault_profile.jpg
3,Teny Bak Puot,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231679?alternate=%2fimages%2fdefault_profile.jpg
4,Chier Mathiang Ater Chier,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231680?alternate=%2fimages%2fdefault_profile.jpg
5,Mathiang Mauot Muo,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231675?alternate=%2fimages%2fdefault_profile.jpg
10,Atem Kuol Atem Bol,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231684?alternate=%2fimages%2fdefault_profile.jpg
12,Ajak Ateng Magot Anok,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231691?alternate=%2fimages%2fdefault_profile.jpg
20,Wanjang Hoth Tut,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231672?alternate=%2fimages%2fdefault_profile.jpg
32,Simon Mayen Malok,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/169774?alternate=%2fimages%2fdefault_profile.jpg
40,Riak Bol Bol,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/player/headshot/5/10662/9716/231671?alternate=%2fimages%2fdefault_profile.jpg
Unknown,Unknown Unknown,Unknown,Unknown,Unknown,Unknown,fiba-afrobasketqualifiers 2017,https://www.fiba.basketball/api/img/coach/headshot/5/10662/9716/17958?alternate=%2fimages%2fdefault_profile.jpg
